seller_id,prediction,order_count,avg_processing_time,avg_delivery_days,total_sales,avg_order_value,on_time_delivery_rate,performance_cluster
gLmgFBt9KEP2,0,140,0.6357142857142857,5.0,56262.13000000008,401.8723571428577,0.85,1
AvTLykupHOIB,0,1676,0.5560859188544153,5.0,1066898.519999998,636.5742959427196,0.85,1
EmVwqW8hWMQ7,0,100,0.19,5.0,12400.040000000014,124.00040000000014,0.85,1
mlEXWDSLFI8W,0,21,0.14285714285714285,5.0,8614.139999999998,410.19714285714275,0.85,1
X6sOuk28jDFW,0,3381,0.5844424726412304,5.0,1884155.8799999906,557.2776929902368,0.85,1
cggBY4u0xwoI,0,6,0.0,5.0,733.5,122.25,0.85,1
aDQK7ytnBMNf,0,76,0.7105263157894737,5.0,19320.380000000023,254.2155263157898,0.85,1
dstYPMt8ythh,0,47,0.6595744680851063,5.0,23484.31000000001,499.66617021276613,0.85,1
ER8FZFwxIvYa,0,57,0.9473684210526315,5.0,27722.019999999993,486.3512280701753,0.85,1
zuFstWTGhU3n,0,3,0.0,5.0,347.16999999999996,115.72333333333331,0.85,1
N0IKT9op4H6t,0,1,0.0,5.0,181.01,181.01,0.85,1
2HgT2MWHngsN,0,36,0.6111111111111112,5.0,6637.93,184.38694444444445,0.85,1
QxxjNt2yQvcI,0,5,1.2,5.0,277.9,55.58,0.85,1
aFLwzlMNYqul,0,5,0.4,5.0,1948.26,389.652,0.85,1
JIxWSNx7OwpZ,0,3,0.6666666666666666,5.0,304.53999999999996,101.51333333333332,0.85,1
APaFMik2IGru,1,4,1.25,5.0,763.91,190.9775,0.85,2
0SHS5xDUVSpP,0,1,0.0,5.0,151.72,151.72,0.85,1
F3IR4WBzeLHa,0,5,0.0,5.0,973.18,194.636,0.85,1
MoOdjG41nt1P,0,1,0.0,5.0,175.5,175.5,0.85,1
D3KeA0riCSxt,0,9,0.0,5.0,4693.599999999999,521.5111111111111,0.85,1
X9atHDCDWlxb,1,4,2.0,5.0,1596.8,399.2,0.85,2
cpVFQzPkwjDe,0,1,1.0,5.0,337.18,337.18,0.85,1
ljNUjdi3VnUg,0,1,1.0,5.0,162.7,162.7,0.85,1
rsc2MD2dnZe3,0,4,0.5,5.0,2734.48,683.62,0.85,1
WfZkl614S6T4,1,2,2.0,5.0,945.51,472.755,0.85,2
pq55PVkO43z1,0,1,1.0,5.0,2109.9,2109.9,0.85,1
ZWa0C3OavkhT,0,1,0.0,5.0,509.99,509.99,0.85,1
VKptZSjzeR8N,0,1,0.0,5.0,145.69,145.69,0.85,1
HaUIinFOemaU,0,5216,0.47430981595092025,5.0,402601.73000002175,77.1859144938692,0.85,1
pAOttUyt5jAq,1,58,2.9482758620689653,5.0,30871.469999999958,532.2667241379303,0.85,2
k6Ksam5fmXKf,0,68,0.3382352941176471,5.0,6208.229999999998,91.29749999999997,0.85,1
NFUo7mzHc8co,0,121,0.5702479338842975,5.0,29799.85000000002,246.27975206611586,0.85,1
NuwLRiZXn8kj,0,34,0.4411764705882353,5.0,2769.5099999999984,81.45617647058819,0.85,1
4mKqWzXFLaBt,0,271,0.47232472324723246,5.0,70260.77999999998,259.2648708487084,0.85,1
PbmtxIIy1YVM,0,9,0.0,5.0,1331.91,147.99,0.85,1
D6zDdLEoGkbu,0,57,0.5789473684210527,5.0,16843.509999999987,295.5001754385963,0.85,1
kku6xzBYlORI,0,17,0.6470588235294118,5.0,4110.92,241.81882352941176,0.85,1
hFHzWXC7hUaR,0,17,0.23529411764705882,5.0,4373.87,257.28647058823526,0.85,1
gPffp4FvbNru,1,14,1.2857142857142858,5.0,1505.9,107.56428571428572,0.85,2
BBs03po2MkSy,0,11,0.09090909090909091,5.0,2315.98,210.54363636363635,0.85,1
poayberFQuqX,0,1,0.0,5.0,179.65,179.65,0.85,1
vPAisJXoX2Co,1,1,2.0,5.0,74.65,74.65,0.85,2
YLyaKG2mxBfu,0,37,0.13513513513513514,5.0,3320.0900000000042,89.73216216216228,0.85,1
n2kB2aR4L8Ip,0,4,0.5,5.0,2559.6,639.9,0.85,1
afDjK0KR8kr6,0,27,0.8148148148148148,5.0,4905.99,181.70333333333332,0.85,1
mLFyDUkbepPN,0,3,0.6666666666666666,5.0,2198.19,732.73,0.85,1
U1zPSeztNDLR,0,1,0.0,5.0,107.9,107.9,0.85,1
CNWoEIUkMX7C,0,18,0.05555555555555555,5.0,2561.6799999999994,142.31555555555553,0.85,1
On7VyJbjT6UV,0,7,0.5714285714285714,5.0,2620.32,374.3314285714286,0.85,1
Wb8Yl1wZLTRB,0,1,0.0,5.0,188.8,188.8,0.85,1
Fhm8aesc8DXe,1,13,1.8461538461538463,5.0,1262.24,97.09538461538462,0.85,2
MwkTjtNThVYs,0,2,0.0,5.0,237.41,118.705,0.85,1
XA5bFX5u1MhH,0,2,0.0,5.0,414.57,207.285,0.85,1
6RP6rI6FuNCn,0,11,0.8181818181818182,5.0,1511.7899999999997,137.43545454545452,0.85,1
hmS6KkvxMbyF,0,521,0.15547024952015356,5.0,95524.66000000056,183.34867562380146,0.85,1
VMcUj3BxBji6,0,21,1.0,5.0,3835.4,182.63809523809525,0.85,1
n1qBLUpDVOLU,0,106,0.5188679245283019,5.0,25472.770000000004,240.30915094339628,0.85,1
zXm1l9WjzYX5,0,21,0.09523809523809523,5.0,2266.2099999999996,107.91476190476189,0.85,1
2rf7HX0nQDBL,1,11,1.7272727272727273,5.0,2479.93,225.4481818181818,0.85,2
gdPm2G9oBKoO,0,21,0.7619047619047619,5.0,5184.95,246.90238095238095,0.85,1
EUbuJdKJA0gL,0,16,0.75,5.0,5717.369999999999,357.33562499999994,0.85,1
Dq9vmUTxeFxh,0,52,0.36538461538461536,5.0,17176.299999999996,330.31346153846147,0.85,1
wa5OLDaodnih,0,8,1.0,5.0,420.7199999999999,52.58999999999999,0.85,1
upwHUHFnAxB0,0,18,0.0,5.0,716.13,39.785,0.85,1
F31Tfi1lSpQe,0,3,0.0,5.0,238.82999999999998,79.61,0.85,1
sfP4huRrus5e,0,60,0.26666666666666666,5.0,23841.45000000001,397.3575000000002,0.85,1
XOrM0JW1ErYS,0,2,0.5,5.0,233.34,116.67,0.85,1
RurnXCJX0idB,0,9,0.0,5.0,2014.8299999999995,223.86999999999995,0.85,1
0GEadORWUKUQ,0,2,0.5,5.0,118.34,59.17,0.85,1
814KSXJaMdJS,0,2,0.0,5.0,256.91999999999996,128.45999999999998,0.85,1
FyGe20sU2FpT,0,7,0.0,5.0,1328.6,189.79999999999998,0.85,1
JonABeE9tZJ6,0,3,0.3333333333333333,5.0,876.18,292.06,0.85,1
uL6WlkucOqoY,0,1,0.0,5.0,65.06,65.06,0.85,1
cjx80DPt8xY1,0,2,0.5,5.0,201.05,100.525,0.85,1
BWczKEOZMEFy,0,303,0.6270627062706271,5.0,315326.3600000004,1040.6810561056118,0.85,1
FBGg2AnNbjOH,0,32,0.625,5.0,8895.660000000002,277.98937500000005,0.85,1
W0eFCV4DQ2OM,0,66,0.5757575757575758,5.0,18328.179999999986,277.69969696969673,0.85,1
VjbLhhR5I7ly,0,2961,0.6474164133738601,5.0,1405907.8900000376,474.80847348869895,0.85,1
SN80BP0LAyJc,0,4,1.0,5.0,8520.0,2130.0,0.85,1
B4yd3gHbEe0Y,0,38,0.0,5.0,5612.54,147.69842105263157,0.85,1
P4kjq7WSvXsY,0,60,0.5833333333333334,5.0,13048.179999999995,217.46966666666657,0.85,1
SnbFMcISFiwK,0,3,0.0,5.0,776.3,258.76666666666665,0.85,1
24xKe3CFg6nB,0,9,1.0,5.0,677.25,75.25,0.85,1
RWY9osiVHxQK,0,2,1.0,5.0,1450.0,725.0,0.85,1
qbA5ZnyZnj1k,0,1,0.0,5.0,95.03,95.03,0.85,1
CvHyF76f3jKZ,0,9,0.4444444444444444,5.0,5485.17,609.4633333333334,0.85,1
AuktcPA3iWYE,0,1,0.0,5.0,60.09,60.09,0.85,1
UaGSyC85jbwj,0,3,0.3333333333333333,5.0,199.49,66.49666666666667,0.85,1
O9tOG5t8gCqC,0,6,0.16666666666666666,5.0,1125.0600000000002,187.51000000000002,0.85,1
9fBfKMiqf7Fj,0,1,1.0,5.0,65.41,65.41,0.85,1
jSOhwPWVF2Xx,0,255,1.0196078431372548,5.0,31919.410000000036,125.17415686274524,0.85,1
hwEsucnHsTTi,0,5,0.4,5.0,541.22,108.244,0.85,1
qMSMJjxggK58,0,100,0.15,5.0,28727.299999999996,287.27299999999997,0.85,1
pvlDoYuoYHFt,0,14,1.1428571428571428,5.0,2070.3300000000004,147.8807142857143,0.85,1
BbnzzKlK68by,0,12,0.4166666666666667,5.0,4082.5299999999997,340.2108333333333,0.85,1
0BKyRKbmL7lm,0,8,0.25,5.0,5542.499999999998,692.8124999999998,0.85,1
Jpunzl5CGq7E,0,14,0.5,5.0,4985.809999999999,356.12928571428563,0.85,1
bsHiZfMMclDa,0,1,1.0,5.0,390.99,390.99,0.85,1
b4zcM4d4Yza7,0,11,0.0,5.0,430.4100000000001,39.12818181818182,0.85,1
VUSLlIFaBbkh,0,2,0.0,5.0,130.57,65.285,0.85,1
CoEG7yCOL1aZ,0,10,0.0,5.0,427.20000000000005,42.720000000000006,0.85,1
QcO1OIQ4qZFc,0,1,0.0,5.0,692.0,692.0,0.85,1
CqBlDSKvUbJ2,0,3,0.3333333333333333,5.0,317.40999999999997,105.80333333333333,0.85,1
atlcYs8LRIfp,0,9,0.0,5.0,3226.7700000000004,358.53000000000003,0.85,1
wXc6xgnecvvx,0,1,0.0,5.0,38.86,38.86,0.85,1
5wnoHfXKSv4m,0,29,0.1724137931034483,5.0,11501.920000000002,396.6179310344828,0.85,1
ILPjDHxjZ4u0,0,1,0.0,5.0,692.0,692.0,0.85,1
zJQlZlUC2Fra,0,9,0.0,5.0,90.89999999999999,10.1,0.85,1
QEXu1nUd3VzB,0,16,0.0,5.0,1326.56,82.91,0.85,1
k4QRXIWR0OD7,0,5,0.0,5.0,3460.0,692.0,0.85,1
7ENBvme4I0PJ,0,30,0.5333333333333333,5.0,13196.499999999996,439.8833333333332,0.85,1
2PgQtdeVOBNS,1,1,3.0,5.0,692.0,692.0,0.85,2
Pqv7UpYqm6IH,0,1,0.0,5.0,17.91,17.91,0.85,1
0G3Q4xIWFhMg,0,209,0.5598086124401914,5.0,20977.340000000037,100.37004784689013,0.85,1
yvUEFO3OhNk6,0,12,0.75,5.0,6809.749999999999,567.4791666666666,0.85,1
DNKLUqfOFddO,0,9,0.0,5.0,2731.6800000000003,303.52000000000004,0.85,1
dFDkZ9QkSW2L,0,3,0.0,5.0,1197.6,399.2,0.85,1
VSMxbeLV0WFa,0,5,0.8,5.0,1452.3500000000001,290.47,0.85,1
ENekhljjhevR,0,122,0.5737704918032787,5.0,37359.29999999998,306.2237704918031,0.85,1
Fvlm1I7CAQnv,0,84,0.8095238095238095,5.0,23905.36000000004,284.5876190476195,0.85,1
W94sb8054CmB,0,24,0.5,5.0,6125.75,255.23958333333334,0.85,1
CIaR1fWMaDLa,1,12,1.5,5.0,7508.26,625.6883333333334,0.85,2
dMvfk1IQQJPl,0,73,0.3013698630136986,5.0,24379.99,333.9724657534247,0.85,1
XDUcHHAatIrl,0,306,0.12745098039215685,5.0,23136.15,75.60833333333333,0.85,1
VYAwLo2gLIyv,0,74,0.22972972972972974,5.0,7955.720000000005,107.5097297297298,0.85,1
8RNm94FKdau6,0,17,0.0,5.0,4596.609999999999,270.3888235294117,0.85,1
s4wmW73tfAt9,1,5,2.2,5.0,818.1800000000001,163.63600000000002,0.85,2
kBxFW3b4dPaZ,0,2,0.0,5.0,752.09,376.045,0.85,1
yc9Qcokqugvr,1,1,3.0,5.0,550.0,550.0,0.85,2
2OifxKUrCyGx,0,5,0.8,5.0,1468.6000000000001,293.72,0.85,1
7gwed5kpmNMJ,1,10,3.0,5.0,1169.81,116.981,0.85,2
Ke6OMbFM1wM9,0,1,1.0,5.0,34.36,34.36,0.85,1
z60iONxaQyao,1,5,1.6,5.0,2067.08,413.416,0.85,2
7RP8PTHePnhT,0,1,0.0,5.0,184.9,184.9,0.85,1
BEq2ZY0kpN5I,0,2,0.0,5.0,735.19,367.595,0.85,1
eAjDUfXlzljL,0,1,0.0,5.0,103.12,103.12,0.85,1
9NzZxy5cTuhe,0,1,0.0,5.0,966.9,966.9,0.85,1
FcSUChvnaTB8,0,2,0.0,5.0,907.4,453.7,0.85,1
lU4NhdlwaDYa,0,4,0.0,5.0,691.96,172.99,0.85,1
hnGt5LdR3vV3,0,15,0.26666666666666666,5.0,4345.200000000001,289.68000000000006,0.85,1
Ag8PByZiRLGh,0,10,0.6,5.0,2537.77,253.777,0.85,1
3t74Pe6EQyNu,0,81,0.6666666666666666,5.0,12181.589999999978,150.38999999999973,0.85,1
UbOj595s2yLF,0,1,0.0,5.0,100.0,100.0,0.85,1
fKNESjLeQi3a,0,11,0.0,5.0,4762.000000000001,432.909090909091,0.85,1
rH2EKLLsqvkB,0,239,0.5732217573221757,5.0,38625.54999999999,161.61317991631793,0.85,1
vJf4Jmjx31y3,0,58,0.43103448275862066,5.0,19553.039999999997,337.12137931034476,0.85,1
5jmVaCDVvTba,0,50,0.46,5.0,9569.720000000003,191.39440000000005,0.85,1
BFm7nFRlb59p,0,5,1.2,5.0,698.8800000000001,139.776,0.85,1
qhxfE5zY5a5R,0,3,0.0,5.0,1874.1799999999998,624.7266666666666,0.85,1
ouYt3q6fRtrq,0,76,0.3026315789473684,5.0,26923.73999999999,354.25973684210516,0.85,1
JXnqi6XETy66,0,1,0.0,5.0,162.7,162.7,0.85,1
fS5rHjwHdXaD,0,2,0.0,5.0,221.87,110.935,0.85,1
oMXaIym2crTL,0,16,0.5,5.0,5881.92,367.62,0.85,1
2QLSf7Kgi2WU,0,15,0.8666666666666667,5.0,9106.98,607.132,0.85,1
Ejyl7FURXWye,0,2,0.5,5.0,634.88,317.44,0.85,1
pggIWCvRKzNV,0,6,0.6666666666666666,5.0,1549.15,258.19166666666666,0.85,1
NJL6ym6PCIKm,0,1,0.0,5.0,252.99,252.99,0.85,1
4g8XR4VO6DqK,0,4,1.0,5.0,494.9599999999999,123.73999999999998,0.85,1
saoccvlbGyxa,0,1,1.0,5.0,213.0,213.0,0.85,1
x9H7q9RruHoJ,0,1,0.0,5.0,405.9,405.9,0.85,1
O7OioVpD3iZ8,0,1,1.0,5.0,127.45,127.45,0.85,1
u21eiL7sTZHB,0,2,0.5,5.0,250.92,125.46,0.85,1
zGXwMHWUhAlJ,0,1,0.0,5.0,26.77,26.77,0.85,1
EITVZLhkPyQj,0,3,0.6666666666666666,5.0,363.75,121.25,0.85,1
hRtu43pT74Ke,0,1,0.0,5.0,176.97,176.97,0.85,1
TtRFOBqvW2jL,0,1,0.0,5.0,34.35,34.35,0.85,1
SSiPMxP6t9t9,0,332,0.6566265060240963,5.0,150950.65000000029,454.67063253012134,0.85,1
Q2NwKBfUdtHW,0,72,0.6527777777777778,5.0,12008.46,166.78416666666666,0.85,1
bI5cDrYjs9Qa,0,215,0.5116279069767442,5.0,81990.66999999998,381.35195348837203,0.85,1
IfkTaAAVww4a,0,69,0.5507246376811594,5.0,10798.179999999997,156.49536231884053,0.85,1
AHG0TE6bRNNY,0,2650,0.4539622641509434,5.0,618679.2500000027,233.46386792452932,0.85,1
2UV2zaeUhNyA,0,527,0.1840607210626186,5.0,159604.14999999997,302.854174573055,0.85,1
VnAPb1lEZYQ6,0,48,0.3333333333333333,5.0,6227.220000000005,129.7337500000001,0.85,1
rTKC7c3Tt984,0,264,0.5265151515151515,5.0,7158.1600000000435,27.11424242424259,0.85,1
S0NEanjpRQ0x,0,112,0.5446428571428571,5.0,18506.68999999995,165.23830357142813,0.85,1
Bn0rKfmMycWE,0,214,0.397196261682243,5.0,49783.030000000064,232.63098130841152,0.85,1
rewXZehYiYRW,0,817,0.49938800489596086,5.0,295349.76999999984,361.5052264381883,0.85,1
NwPn61VaD1X6,0,159,0.34591194968553457,5.0,48813.960000000014,307.00603773584913,0.85,1
xqS6FkG5qqve,0,53,0.9056603773584906,5.0,23460.040000000015,442.6422641509437,0.85,1
keqfu1Ge3LBw,0,1,0.0,5.0,3.99,3.99,0.85,1
F9FfWnAJyS69,0,2,0.0,5.0,536.76,268.38,0.85,1
cUn7dujqBetE,0,302,0.46688741721854304,5.0,58015.23000000018,192.1034105960271,0.85,1
cnRUSXBmaGmE,0,84,0.7380952380952381,5.0,54458.04000000004,648.3100000000004,0.85,1
vcqRTwnJJRMZ,0,1,1.0,5.0,213.0,213.0,0.85,1
Kl4apbkJMfTI,0,16,0.8125,5.0,1326.23,82.889375,0.85,1
Y92X16BtUM9A,0,21,0.38095238095238093,5.0,5159.219999999998,245.67714285714277,0.85,1
dKrgsvhvTKAm,1,1,2.0,5.0,9.57,9.57,0.85,2
P6NX6yPLkVBw,0,1,0.0,5.0,98.6,98.6,0.85,1
dsTQDLHZzJm2,1,1,4.0,5.0,36.8,36.8,0.85,2
ZN2DE7pfVtAD,1,1,2.0,5.0,54.6,54.6,0.85,2
7Qp1NwfnM8I2,0,23,0.43478260869565216,5.0,7256.109999999999,315.4830434782608,0.85,1
lTpUZrtW5FYQ,0,24,0.5833333333333334,5.0,5016.23,209.00958333333332,0.85,1
2IxTbqKqgUdA,0,62,0.5645161290322581,5.0,32427.270000000008,523.0204838709678,0.85,1
rZbfyncWtbdz,0,7,0.2857142857142857,5.0,974.1800000000001,139.16857142857143,0.85,1
PVq5x7teCXPP,1,17,4.705882352941177,5.0,2541.2899999999995,149.4876470588235,0.85,2
kT4UPkqxjZhU,0,1085,0.26912442396313363,5.0,130160.2700000004,119.96338248847962,0.85,1
oMm44yvF7XOe,0,11,0.36363636363636365,5.0,3955.5999999999995,359.59999999999997,0.85,1
1Yy6Z1b3bzM0,0,133,0.3157894736842105,5.0,54700.350000000115,411.28082706767003,0.85,1
ItYhqrkUww7D,0,1604,0.827930174563591,5.0,452784.8900000048,282.28484413965384,0.85,1
1hwK88ByZgFX,0,2,1.0,5.0,1384.0,692.0,0.85,1
UkoMXv8t9TKP,0,9,0.0,5.0,1982.9699999999998,220.32999999999998,0.85,1
0mNQOOvRxX8B,0,1,0.0,5.0,173.2,173.2,0.85,1
sCFB5ngSqQzf,0,32,0.4375,5.0,10547.249999999998,329.60156249999994,0.85,1
AaoKSXhBsNmR,0,22,0.4090909090909091,5.0,2179.79,99.08136363636363,0.85,1
EWdJ8U1nWcvR,1,4,3.0,5.0,54.8,13.7,0.85,2
TWDnl6DcP7R4,0,1,0.0,5.0,548.0,548.0,0.85,1
203ASQEGrFJT,0,4,0.5,5.0,453.96,113.49,0.85,1
ToGx1gWc17Gc,0,14,0.5714285714285714,5.0,1955.8000000000002,139.70000000000002,0.85,1
WJYSPUczjuql,0,6,0.0,5.0,2173.96,362.32666666666665,0.85,1
Xvg12CGWf6j3,0,1,1.0,5.0,150.82,150.82,0.85,1
wuZLXoDWQ7bz,0,1,1.0,5.0,45.6,45.6,0.85,1
7fRRPZ84OMEq,0,1,0.0,5.0,95.03,95.03,0.85,1
FMlcBpRkoLDp,0,2,0.5,5.0,947.8199999999999,473.90999999999997,0.85,1
6Egd4mYX3O2T,0,2,0.5,5.0,789.05,394.525,0.85,1
wqiqH0Z2rqRV,0,4,0.0,5.0,287.2,71.8,0.85,1
AY561gRQMc6U,0,369,0.43902439024390244,5.0,93019.83999999885,252.0862872628695,0.85,1
cSZDKwrQZNP9,0,5,0.4,5.0,339.0,67.8,0.85,1
SrZedayg2sUq,0,4,0.0,5.0,880.48,220.12,0.85,1
CEkOID1v4dJ8,0,1,0.0,5.0,849.5,849.5,0.85,1
gihEWVf0rQH9,1,5,1.6,5.0,981.7600000000002,196.35200000000003,0.85,2
ebnikHq8ApuA,1,1,3.0,5.0,238.4,238.4,0.85,2
sCTepL6ozkFz,0,1,0.0,5.0,69.97,69.97,0.85,1
xN3Yr0jLTyHV,0,6,0.6666666666666666,5.0,1168.79,194.79833333333332,0.85,1
GKDbDJGrpDtg,0,1,1.0,5.0,489.98,489.98,0.85,1
kYHploWLdvqh,0,198,0.4494949494949495,5.0,147538.82000000007,745.1455555555559,0.85,1
14AIqEsZssES,0,37,0.02702702702702703,5.0,4834.5300000000025,130.66297297297305,0.85,1
5ogCnwzSomBT,0,9,0.5555555555555556,5.0,1774.9900000000002,197.22111111111113,0.85,1
R4J11JRqtn5M,0,30,0.1,5.0,5823.210000000001,194.10700000000003,0.85,1
hZZnwRdyPwuz,0,10,0.0,5.0,1520.65,152.065,0.85,1
OJlIxckGoqY1,0,24,0.6666666666666666,5.0,3726.2200000000003,155.2591666666667,0.85,1
Ien7ENq4obAW,1,20,1.25,5.0,7622.570000000004,381.1285000000002,0.85,2
3jo4LaNyJc2x,0,16,0.0,5.0,4047.999999999999,252.99999999999994,0.85,1
aQpNQZTBtv6o,0,49,0.14285714285714285,5.0,2095.030000000002,42.755714285714326,0.85,1
rbYbnyUeaLLr,0,7,0.2857142857142857,5.0,486.15,69.45,0.85,1
wwkEiuOOSSP1,0,11,0.6363636363636364,5.0,1720.75,156.4318181818182,0.85,1
jGMM5Ez3f6X2,0,36,0.6666666666666666,5.0,4516.56,125.46000000000001,0.85,1
N0UQFx78rjS5,0,4,0.75,5.0,2519.56,629.89,0.85,1
RqR0xDzYYMMJ,0,5,0.0,5.0,2164.73,432.946,0.85,1
FzBuFHRVK8I9,0,2,0.5,5.0,641.6899999999999,320.84499999999997,0.85,1
2bDQEm17cVgN,0,2,0.0,5.0,807.8,403.9,0.85,1
fmCzEXQEDOgE,1,1,2.0,5.0,159.9,159.9,0.85,2
mSl3Uylm3hlM,0,1,0.0,5.0,352.0,352.0,0.85,1
8rHUnSQeQcMj,0,1397,0.6005726556907659,5.0,194204.21999999892,139.0151896921968,0.85,1
94l6BertAIx7,0,425,0.28705882352941176,5.0,56749.2599999997,133.52767058823457,0.85,1
7JtHJ8kiNtes,0,379,0.8179419525065963,5.0,99027.27000000006,261.28567282321916,0.85,1
NQSslzhxLuGx,0,29,0.5172413793103449,5.0,4216.489999999999,145.3962068965517,0.85,1
WG2pVERAEzeW,0,865,0.6208092485549133,5.0,274475.53999999847,317.31276300577855,0.85,1
ffUNNLStwOip,0,54,0.35185185185185186,5.0,13001.689999999997,240.77203703703697,0.85,1
RER7UFXvZf7A,0,3,0.0,5.0,927.6600000000001,309.22,0.85,1
RHli1AhbybY9,0,16,0.25,5.0,5092.999999999999,318.31249999999994,0.85,1
l7dKfvHZDuWA,0,6,0.0,5.0,812.8,135.46666666666667,0.85,1
Dr1apVFurBbV,1,42,3.0,5.0,932.4000000000007,22.200000000000017,0.85,2
RzZDlNGfLsEQ,0,3,0.0,5.0,179.99,59.99666666666667,0.85,1
JfZNvJfa6QJf,0,1,1.0,5.0,22.0,22.0,0.85,1
2qxHpcYDkIki,0,2,0.0,5.0,708.88,354.44,0.85,1
DnUV9Elb5IBP,0,6,0.6666666666666666,5.0,3133.6,522.2666666666667,0.85,1
RuTOBChetY7Y,0,1,0.0,5.0,32.0,32.0,0.85,1
2ES2pcjMcu3D,0,71,0.5774647887323944,5.0,4145.389999999998,58.38577464788729,0.85,1
SdNJoEI8fcgb,0,14,0.7142857142857143,5.0,2256.1699999999996,161.15499999999997,0.85,1
atdGN9KL4xEB,0,13,0.0,5.0,739.5699999999999,56.88999999999999,0.85,1
39KLUoY5AbiH,0,6,0.0,5.0,3866.62,644.4366666666666,0.85,1
3FilZnsiTfK7,0,4,0.25,5.0,938.37,234.5925,0.85,1
Xs8YY0JBP2yd,0,5,0.6,5.0,390.10999999999996,78.02199999999999,0.85,1
OHOH7HM8983K,0,5,0.0,5.0,1153.99,230.798,0.85,1
FaOozPc3pSHP,0,10,0.0,5.0,710.0500000000001,71.00500000000001,0.85,1
bkQF0x8JRQ0y,0,1,0.0,5.0,178.9,178.9,0.85,1
qTze4vOFfmzB,1,1,4.0,5.0,137.88,137.88,0.85,2
GafbNvI7KPEi,0,14,0.7142857142857143,5.0,2320.7599999999998,165.76857142857142,0.85,1
xSE3KdOwqlZz,0,1,0.0,5.0,109.82,109.82,0.85,1
rEq7VkFxXkcj,0,1,0.0,5.0,820.05,820.05,0.85,1
JnZVO1WBU3ns,1,2,1.5,5.0,2992.97,1496.485,0.85,2
4qcaJHvHiLmg,0,4,0.0,5.0,439.28,109.82,0.85,1
VZnqH7m22nXm,0,1,0.0,5.0,367.0,367.0,0.85,1
X5fhqRmuvQ9Z,0,1136,0.3125,5.0,453216.64000000013,398.95830985915507,0.85,1
cjilIa8d2RUG,0,124,0.5645161290322581,5.0,23499.049999999992,189.50846774193542,0.85,1
MrnDWxZVVLrO,0,187,0.8663101604278075,5.0,135509.26000000013,724.6484491978616,0.85,1
g6AdzghqF6DD,0,3976,0.3267102615694165,5.0,2345406.0500000236,589.8908576458812,0.85,1
fPb06UMDTWgq,0,248,0.22983870967741934,5.0,39839.479999999974,160.64306451612893,0.85,1
izwnS1Asum9o,0,1,1.0,5.0,101.75,101.75,0.85,1
6uVsdw6QHORc,0,22,0.36363636363636365,5.0,1490.4000000000003,67.74545454545456,0.85,1
CYe0rVOTbNZ3,0,283,0.784452296819788,5.0,72352.23999999986,255.6616254416956,0.85,1
BaK7FcpwSSsf,0,75,0.16,5.0,43530.02000000002,580.4002666666669,0.85,1
BFS9XJPapWv0,0,132,0.30303030303030304,5.0,18916.709999999985,143.30840909090898,0.85,1
ig4o0HlMBlrC,0,1,0.0,5.0,741.82,741.82,0.85,1
c2fDy0hWlCDz,0,1,0.0,5.0,367.0,367.0,0.85,1
OXtQyYTbs2RE,0,52,0.15384615384615385,5.0,13164.190000000008,253.15750000000014,0.85,1
psUEcT6pBQLP,0,4,1.0,5.0,1063.6,265.9,0.85,1
l7oBw80EHO6h,0,10,0.5,5.0,2834.36,283.43600000000004,0.85,1
EeqYb9aORiFP,0,15,0.13333333333333333,5.0,4450.83,296.722,0.85,1
J23EhPqh2efY,0,10,0.0,5.0,2028.63,202.863,0.85,1
NL7DCrvV2aOD,0,35,0.6285714285714286,5.0,10261.6,293.18857142857144,0.85,1
AL72hKJY7h2J,0,1,0.0,5.0,28.82,28.82,0.85,1
a9nadA3y30ry,0,1,0.0,5.0,183.38,183.38,0.85,1
CJEiRDPhUtti,0,12,0.3333333333333333,5.0,1970.7099999999998,164.22583333333333,0.85,1
isJHkPOeOm7I,0,4,0.0,5.0,2392.0,598.0,0.85,1
fZpDF3uClkkx,0,3,0.6666666666666666,5.0,1197.0900000000001,399.03000000000003,0.85,1
aGNkz7OzMqgd,0,3,0.3333333333333333,5.0,2399.1,799.6999999999999,0.85,1
MrQ6iukQHrOv,0,1,0.0,5.0,47.91,47.91,0.85,1
uhvcQCE2y6iv,0,7,1.0,5.0,614.02,87.71714285714286,0.85,1
VhOQIFjYIzH5,0,1,0.0,5.0,95.03,95.03,0.85,1
VbREMx1xh7Eb,0,111,0.44144144144144143,5.0,22213.240000000005,200.11927927927934,0.85,1
GSk3Uky4sDCl,0,18,0.16666666666666666,5.0,3415.0699999999997,189.7261111111111,0.85,1
WUOUhAYcu4tr,0,800,0.38,5.0,176918.19000000032,221.1477375000004,0.85,1
WDkzPa2BlWtS,0,1,0.0,5.0,849.0,849.0,0.85,1
4cyCNWR4vh3z,0,108,0.12962962962962962,5.0,9936.499999999995,92.00462962962958,0.85,1
rVKPr4tmuNUY,0,2,1.0,5.0,167.29,83.645,0.85,1
4YvZWfI3A03T,0,136,0.5147058823529411,5.0,42057.12999999999,309.2436029411764,0.85,1
3hxLpogKUphW,1,43,1.4186046511627908,5.0,12420.680000000002,288.853023255814,0.85,2
ruJhmKntc1UQ,0,204,0.6911764705882353,5.0,50362.56999999989,246.87534313725436,0.85,1
